"Name","upscale","cropping","crop_size","data_path","out_chans","val_years","batch_size","do_nothing","test_years","in_channels","num_workers","train_years","masking_prob","out_channels","channel_names","local_testing","loss_function","return_offset","cerra_test_step","dataset_metrics.variable_max","dataset_metrics.variable_min","dataset_metrics.variable_std","dataset_metrics.variable_mean","constant_channels","spatial_split_val","downscaling_factor","spatial_split_test","return_era_original","spatial_split_train","use_separate_dataset","lat_lon_const_channels","use_added_variables_dataset","_wandb","ape","depths","img_size","in_chans","qk_scale","qkv_bias","drop_rate","embed_dim","img_range","loss_beta","mlp_ratio","num_heads","upsampler","norm_layer","patch_norm","patch_size","window_size","weight_decay","learning_rate","lr_scheduling","attn_drop_rate","drop_path_rate","use_checkpoint","resi_connection","num_sidechannels","embed_dim_sidechannels","weights_from_checkpoint_path","Relative Time (Process)","Step","Wall Time","_wandb.runtime","epoch","mse_msl","mse_r500","mse_r850","mse_si10","mse_sp","mse_t2m","mse_t500","mse_t850","mse_tcwv","mse_u10","mse_u1000","mse_u500","mse_u850","mse_v10","mse_v1000","mse_v500","mse_v850","mse_wdir10","mse_z1000","mse_z50","mse_z500","mse_z850","psnr_msl","psnr_r500","psnr_r850","psnr_sp","psnr_t2m","psnr_t500","psnr_t850","psnr_tcwv","psnr_u10","psnr_u1000","psnr_u500","psnr_u850","psnr_v10","psnr_v1000","psnr_v500","psnr_v850","psnr_z1000","psnr_z50","psnr_z500","psnr_z850","test_loss","test_mse","test_psnr","test_psnr_cyclic","trainer/global_step"
"era2cerra-4x-spatialinterpolation","1","deterministic","256","/anvme/workspace/b214cb13-ecodata/downscaling/","20","[2019,2019]","16","true","[2020,2021]","","8","[2010,2018]","0.5","","[""u10"",""v10"",""t2m"",""sp"",""msl"",""t850"",""u1000"",""v1000"",""z1000"",""u850"",""v850"",""z850"",""u500"",""v500"",""z500"",""t500"",""z50"",""r500"",""r850"",""tcwv""]","false","cyclic_loss","true","false","[44.87813186645508,38.694129943847656,324.2189636230469,108427.640625,106781.015625,310.3924255371094,46.81880187988281,40.925682067871094,4703.92822265625,60.70166015625,65.36372375488281,17144.107421875,84.81454467773438,70.76936340332031,58993.25,277.6767578125,208169.34375,100.271484375,100.3125,70.05439758300781]","[-47.1890754699707,-39.18060302734375,208.6084747314453,59471.109375,92815.4609375,232.4290008544922,-50.96355438232422,-44.29997634887695,-6040.11376953125,-64.76236724853516,-63.29326248168945,7021.36865234375,-59.50013732910156,-71.28144073486328,45486.78125,217.90708923339844,183686.640625,0,0,-1.4252303838729858]","[4.501056541932692,4.50133076863228,10.052838398795886,5012.476996727906,942.5295226976508,9.042285051703416,5.260454351203145,4.9862871807071985,754.947345972714,7.0088726435891395,6.4046746173418505,901.0264351209102,10.197595427382272,10.15875230315684,1912.32740113131,7.134831272870311,1824.4270025635697,31.136051238181565,28.291102362723564,6.523883304581078]","[0.5248711051081073,-0.33337037347848675,284.6867731371149,98668.12827669844,101388.59262072892,278.8009717214205,0.5005299503643809,-0.3980572403056423,1126.6866898741227,2.35983159702073,-0.15063040353931068,14318.72122843214,8.261241202083156,-0.0037135112004360567,55015.903614737035,254.092143123477,201346.8242965898,46.54613599524805,59.58638924684864,15.035097287061696]","false","[1,5,9,13]","1","[1,5,9,13]","true","[0,2,3,4,6,7,8,10,11,12,14,15]","true","false","false","{""desc"":null,""value"":{""m"":[{""1"":""trainer/global_step"",""6"":[3]},{""1"":""test_psnr_cyclic"",""5"":1,""6"":[1]},{""1"":""mse_u10"",""5"":1,""6"":[1]},{""1"":""psnr_u10"",""5"":1,""6"":[1]},{""1"":""mse_v10"",""5"":1,""6"":[1]},{""1"":""psnr_v10"",""5"":1,""6"":[1]},{""1"":""mse_t2m"",""5"":1,""6"":[1]},{""1"":""psnr_t2m"",""5"":1,""6"":[1]},{""1"":""mse_sp"",""5"":1,""6"":[1]},{""1"":""psnr_sp"",""5"":1,""6"":[1]},{""1"":""mse_msl"",""5"":1,""6"":[1]},{""1"":""psnr_msl"",""5"":1,""6"":[1]},{""1"":""mse_t850"",""5"":1,""6"":[1]},{""1"":""psnr_t850"",""5"":1,""6"":[1]},{""1"":""mse_u1000"",""5"":1,""6"":[1]},{""1"":""psnr_u1000"",""5"":1,""6"":[1]},{""1"":""mse_v1000"",""5"":1,""6"":[1]},{""1"":""psnr_v1000"",""5"":1,""6"":[1]},{""1"":""mse_z1000"",""5"":1,""6"":[1]},{""1"":""psnr_z1000"",""5"":1,""6"":[1]},{""1"":""mse_u850"",""5"":1,""6"":[1]},{""1"":""psnr_u850"",""5"":1,""6"":[1]},{""1"":""mse_v850"",""5"":1,""6"":[1]},{""1"":""psnr_v850"",""5"":1,""6"":[1]},{""1"":""mse_z850"",""5"":1,""6"":[1]},{""1"":""psnr_z850"",""5"":1,""6"":[1]},{""1"":""mse_u500"",""5"":1,""6"":[1]},{""1"":""psnr_u500"",""5"":1,""6"":[1]},{""1"":""mse_v500"",""5"":1,""6"":[1]},{""1"":""psnr_v500"",""5"":1,""6"":[1]},{""1"":""mse_z500"",""5"":1,""6"":[1]},{""1"":""psnr_z500"",""5"":1,""6"":[1]},{""1"":""mse_t500"",""5"":1,""6"":[1]},{""1"":""psnr_t500"",""5"":1,""6"":[1]},{""1"":""mse_z50"",""5"":1,""6"":[1]},{""1"":""psnr_z50"",""5"":1,""6"":[1]},{""1"":""mse_r500"",""5"":1,""6"":[1]},{""1"":""psnr_r500"",""5"":1,""6"":[1]},{""1"":""mse_r850"",""5"":1,""6"":[1]},{""1"":""psnr_r850"",""5"":1,""6"":[1]},{""1"":""mse_tcwv"",""5"":1,""6"":[1]},{""1"":""psnr_tcwv"",""5"":1,""6"":[1]},{""1"":""mse_si10"",""5"":1,""6"":[1]},{""1"":""mse_wdir10"",""5"":1,""6"":[1]},{""1"":""test_loss"",""5"":1,""6"":[1]},{""1"":""test_psnr"",""5"":1,""6"":[1]},{""1"":""test_mse"",""5"":1,""6"":[1]},{""1"":""epoch"",""5"":1,""6"":[1]}],""t"":{""1"":[1,41,49,55,63],""2"":[1,41,49,55,63],""3"":[7,13,15,23],""4"":""3.11.8"",""5"":""0.16.5"",""8"":[5],""13"":""linux-x86_64""},""code_path"":""code/train_cli.py"",""framework"":""torch"",""start_time"":1736417792,""cli_version"":""0.16.5"",""is_jupyter_run"":false,""python_version"":""3.11.8"",""is_kaggle_kernel"":false}}","","","","","","","","","","","","","","","","","","","","","","","","","","","","1930.1891791820528","0","1736419722.8431325","1929","0","0.004136547911912203","0.05865991115570069","0.09895424544811247","0.1269444315741054","0.030224917456507683","0.02049238607287407","0.0014806024264544249","0.004439913667738438","0.02041880413889885","0.08958099782466888","0.12633341550827026","0.05965903401374817","0.08537711948156357","0.08637850731611252","0.1409561187028885","0.0908472090959549","0.1366681158542633","0.10065955537997329","0.0039042597636580463","0.0005886873695999384","0.0006219922797754407","0.0019834539853036404","65.01545715332031","22.727510452270508","21.328269958496097","41.481163024902344","46.669002532958984","59.98307418823242","53.96697616577149","31.533496856689453","27.832653045654297","26.39292335510254","28.11052131652832","27.625673294067383","28.096118927001953","25.935535430908203","25.576393127441406","26.05731773376465","37.8906135559082","73.86548614501953","62.299537658691406","52.41777420043945","0.05308529734611511","38565.93661598888","33.6817626953125","33.6817626953125","0"
"era2cerra-4x-spatialmodel","4","deterministic","256","/anvme/workspace/b214cb13-ecodata/downscaling/","20","[2019,2019]","16","","[2020,2021]","","8","[2010,2018]","0.5","","[""u10"",""v10"",""t2m"",""sp"",""msl"",""t850"",""u1000"",""v1000"",""z1000"",""u850"",""v850"",""z850"",""u500"",""v500"",""z500"",""t500"",""z50"",""r500"",""r850"",""tcwv""]","false","cyclic_loss","true","","[44.87813186645508,38.694129943847656,324.2189636230469,108427.640625,106781.015625,310.3924255371094,46.81880187988281,40.925682067871094,4703.92822265625,60.70166015625,65.36372375488281,17144.107421875,84.81454467773438,70.76936340332031,58993.25,277.6767578125,208169.34375,100.271484375,100.3125,70.05439758300781]","[-47.1890754699707,-39.18060302734375,208.6084747314453,59471.109375,92815.4609375,232.4290008544922,-50.96355438232422,-44.29997634887695,-6040.11376953125,-64.76236724853516,-63.29326248168945,7021.36865234375,-59.50013732910156,-71.28144073486328,45486.78125,217.90708923339844,183686.640625,0,0,-1.4252303838729858]","[4.501056541932692,4.50133076863228,10.052838398795886,5012.476996727906,942.5295226976508,9.042285051703416,5.260454351203145,4.9862871807071985,754.947345972714,7.0088726435891395,6.4046746173418505,901.0264351209102,10.197595427382272,10.15875230315684,1912.32740113131,7.134831272870311,1824.4270025635697,31.136051238181565,28.291102362723564,6.523883304581078]","[0.5248711051081073,-0.33337037347848675,284.6867731371149,98668.12827669844,101388.59262072892,278.8009717214205,0.5005299503643809,-0.3980572403056423,1126.6866898741227,2.35983159702073,-0.15063040353931068,14318.72122843214,8.261241202083156,-0.0037135112004360567,55015.903614737035,254.092143123477,201346.8242965898,46.54613599524805,59.58638924684864,15.035097287061696]","true","[1,5,9,13]","4","[1,5,9,13]","true","[0,2,3,4,6,7,8,10,11,12,14,15]","true","false","false","{""desc"":null,""value"":{""m"":[{""1"":""trainer/global_step"",""6"":[3]},{""1"":""test_psnr_cyclic"",""5"":1,""6"":[1]},{""1"":""mse_u10"",""5"":1,""6"":[1]},{""1"":""psnr_u10"",""5"":1,""6"":[1]},{""1"":""mse_v10"",""5"":1,""6"":[1]},{""1"":""psnr_v10"",""5"":1,""6"":[1]},{""1"":""mse_t2m"",""5"":1,""6"":[1]},{""1"":""psnr_t2m"",""5"":1,""6"":[1]},{""1"":""mse_sp"",""5"":1,""6"":[1]},{""1"":""psnr_sp"",""5"":1,""6"":[1]},{""1"":""mse_msl"",""5"":1,""6"":[1]},{""1"":""psnr_msl"",""5"":1,""6"":[1]},{""1"":""mse_t850"",""5"":1,""6"":[1]},{""1"":""psnr_t850"",""5"":1,""6"":[1]},{""1"":""mse_u1000"",""5"":1,""6"":[1]},{""1"":""psnr_u1000"",""5"":1,""6"":[1]},{""1"":""mse_v1000"",""5"":1,""6"":[1]},{""1"":""psnr_v1000"",""5"":1,""6"":[1]},{""1"":""mse_z1000"",""5"":1,""6"":[1]},{""1"":""psnr_z1000"",""5"":1,""6"":[1]},{""1"":""mse_u850"",""5"":1,""6"":[1]},{""1"":""psnr_u850"",""5"":1,""6"":[1]},{""1"":""mse_v850"",""5"":1,""6"":[1]},{""1"":""psnr_v850"",""5"":1,""6"":[1]},{""1"":""mse_z850"",""5"":1,""6"":[1]},{""1"":""psnr_z850"",""5"":1,""6"":[1]},{""1"":""mse_u500"",""5"":1,""6"":[1]},{""1"":""psnr_u500"",""5"":1,""6"":[1]},{""1"":""mse_v500"",""5"":1,""6"":[1]},{""1"":""psnr_v500"",""5"":1,""6"":[1]},{""1"":""mse_z500"",""5"":1,""6"":[1]},{""1"":""psnr_z500"",""5"":1,""6"":[1]},{""1"":""mse_t500"",""5"":1,""6"":[1]},{""1"":""psnr_t500"",""5"":1,""6"":[1]},{""1"":""mse_z50"",""5"":1,""6"":[1]},{""1"":""psnr_z50"",""5"":1,""6"":[1]},{""1"":""mse_r500"",""5"":1,""6"":[1]},{""1"":""psnr_r500"",""5"":1,""6"":[1]},{""1"":""mse_r850"",""5"":1,""6"":[1]},{""1"":""psnr_r850"",""5"":1,""6"":[1]},{""1"":""mse_tcwv"",""5"":1,""6"":[1]},{""1"":""psnr_tcwv"",""5"":1,""6"":[1]},{""1"":""mse_si10"",""5"":1,""6"":[1]},{""1"":""mse_wdir10"",""5"":1,""6"":[1]},{""1"":""test_loss"",""5"":1,""6"":[1]},{""1"":""test_psnr"",""5"":1,""6"":[1]},{""1"":""test_mse"",""5"":1,""6"":[1]},{""1"":""epoch"",""5"":1,""6"":[1]}],""t"":{""1"":[1,41,49,55,63],""2"":[1,41,49,55,63],""3"":[7,13,15,23],""4"":""3.11.8"",""5"":""0.16.5"",""8"":[5],""13"":""linux-x86_64""},""code_path"":""code/train_cli.py"",""framework"":""torch"",""start_time"":1736415282,""cli_version"":""0.16.5"",""is_jupyter_run"":false,""python_version"":""3.11.8"",""is_kaggle_kernel"":false}}","false","[5,5,5,5,5]","64","20","","true","0","220","1","0.6","2","[6,6,6,6,6]","pixelshuffledirect","LayerNorm","true","1","8","0","0.00015","false","0","0.1","false","HSFB","2","20","","1228.009630203247","0","1736416510.0914772","1227","0","0.00464172288775444","0.051374245434999466","0.0721677765250206","0.10600089281797408","0.02103133499622345","0.016011927276849747","0.001736700301989913","0.003999186214059591","0.01833573915064335","0.07140787690877914","0.10764577239751816","0.06958355754613876","0.086354099214077","0.07204432785511017","0.1232261061668396","0.11446303874254228","0.1199427843093872","0.09158205986022948","0.004404406063258648","0.0007669707993045449","0.0010379040613770485","0.002722764853388071","64.32105255126953","23.278942108154297","22.573232650756836","43.056007385253906","47.73731231689453","59.270843505859375","54.41328430175781","31.95122528076172","28.81630516052246","27.076770782470703","27.46377182006836","27.63291931152344","28.8854923248291","26.51054573059082","24.49065399169922","26.517669677734375","37.179317474365234","72.5174560546875","59.733978271484375","50.70794677734375","0.04814488068223","27187.54296875","34.10700225830078","34.10700225830078","0"
"era2cerra-4x-spatial","4","deterministic","256","/anvme/workspace/b214cb13-ecodata/downscaling/","20","[2019,2019]","16","","[2020,2021]","","8","[2010,2018]","0.5","","[""u10"",""v10"",""t2m"",""sp"",""msl"",""t850"",""u1000"",""v1000"",""z1000"",""u850"",""v850"",""z850"",""u500"",""v500"",""z500"",""t500"",""z50"",""r500"",""r850"",""tcwv""]","false","cyclic_loss","true","","[44.87813186645508,38.694129943847656,324.2189636230469,108427.640625,106781.015625,310.3924255371094,46.81880187988281,40.925682067871094,4703.92822265625,60.70166015625,65.36372375488281,17144.107421875,84.81454467773438,70.76936340332031,58993.25,277.6767578125,208169.34375,100.271484375,100.3125,70.05439758300781]","[-47.1890754699707,-39.18060302734375,208.6084747314453,59471.109375,92815.4609375,232.4290008544922,-50.96355438232422,-44.29997634887695,-6040.11376953125,-64.76236724853516,-63.29326248168945,7021.36865234375,-59.50013732910156,-71.28144073486328,45486.78125,217.90708923339844,183686.640625,0,0,-1.4252303838729858]","[4.501056541932692,4.50133076863228,10.052838398795886,5012.476996727906,942.5295226976508,9.042285051703416,5.260454351203145,4.9862871807071985,754.947345972714,7.0088726435891395,6.4046746173418505,901.0264351209102,10.197595427382272,10.15875230315684,1912.32740113131,7.134831272870311,1824.4270025635697,31.136051238181565,28.291102362723564,6.523883304581078]","[0.5248711051081073,-0.33337037347848675,284.6867731371149,98668.12827669844,101388.59262072892,278.8009717214205,0.5005299503643809,-0.3980572403056423,1126.6866898741227,2.35983159702073,-0.15063040353931068,14318.72122843214,8.261241202083156,-0.0037135112004360567,55015.903614737035,254.092143123477,201346.8242965898,46.54613599524805,59.58638924684864,15.035097287061696]","true","[1,5,9,13]","4","[1,5,9,13]","true","[0,2,3,4,6,7,8,10,11,12,14,15]","true","false","false","{""desc"":null,""value"":{""m"":[{""1"":""trainer/global_step"",""6"":[3]},{""1"":""test_psnr_cyclic"",""5"":1,""6"":[1]},{""1"":""mse_u10"",""5"":1,""6"":[1]},{""1"":""psnr_u10"",""5"":1,""6"":[1]},{""1"":""mse_v10"",""5"":1,""6"":[1]},{""1"":""psnr_v10"",""5"":1,""6"":[1]},{""1"":""mse_t2m"",""5"":1,""6"":[1]},{""1"":""psnr_t2m"",""5"":1,""6"":[1]},{""1"":""mse_sp"",""5"":1,""6"":[1]},{""1"":""psnr_sp"",""5"":1,""6"":[1]},{""1"":""mse_msl"",""5"":1,""6"":[1]},{""1"":""psnr_msl"",""5"":1,""6"":[1]},{""1"":""mse_t850"",""5"":1,""6"":[1]},{""1"":""psnr_t850"",""5"":1,""6"":[1]},{""1"":""mse_u1000"",""5"":1,""6"":[1]},{""1"":""psnr_u1000"",""5"":1,""6"":[1]},{""1"":""mse_v1000"",""5"":1,""6"":[1]},{""1"":""psnr_v1000"",""5"":1,""6"":[1]},{""1"":""mse_z1000"",""5"":1,""6"":[1]},{""1"":""psnr_z1000"",""5"":1,""6"":[1]},{""1"":""mse_u850"",""5"":1,""6"":[1]},{""1"":""psnr_u850"",""5"":1,""6"":[1]},{""1"":""mse_v850"",""5"":1,""6"":[1]},{""1"":""psnr_v850"",""5"":1,""6"":[1]},{""1"":""mse_z850"",""5"":1,""6"":[1]},{""1"":""psnr_z850"",""5"":1,""6"":[1]},{""1"":""mse_u500"",""5"":1,""6"":[1]},{""1"":""psnr_u500"",""5"":1,""6"":[1]},{""1"":""mse_v500"",""5"":1,""6"":[1]},{""1"":""psnr_v500"",""5"":1,""6"":[1]},{""1"":""mse_z500"",""5"":1,""6"":[1]},{""1"":""psnr_z500"",""5"":1,""6"":[1]},{""1"":""mse_t500"",""5"":1,""6"":[1]},{""1"":""psnr_t500"",""5"":1,""6"":[1]},{""1"":""mse_z50"",""5"":1,""6"":[1]},{""1"":""psnr_z50"",""5"":1,""6"":[1]},{""1"":""mse_r500"",""5"":1,""6"":[1]},{""1"":""psnr_r500"",""5"":1,""6"":[1]},{""1"":""mse_r850"",""5"":1,""6"":[1]},{""1"":""psnr_r850"",""5"":1,""6"":[1]},{""1"":""mse_tcwv"",""5"":1,""6"":[1]},{""1"":""psnr_tcwv"",""5"":1,""6"":[1]},{""1"":""mse_si10"",""5"":1,""6"":[1]},{""1"":""mse_wdir10"",""5"":1,""6"":[1]},{""1"":""test_loss"",""5"":1,""6"":[1]},{""1"":""test_psnr"",""5"":1,""6"":[1]},{""1"":""test_mse"",""5"":1,""6"":[1]},{""1"":""epoch"",""5"":1,""6"":[1]}],""t"":{""1"":[1,41,49,55,63],""2"":[1,41,49,55,63],""3"":[7,13,15,23],""4"":""3.11.8"",""5"":""0.16.5"",""8"":[5],""13"":""linux-x86_64""},""code_path"":""code/train_cli.py"",""framework"":""torch"",""start_time"":1736413292,""cli_version"":""0.16.5"",""is_jupyter_run"":false,""python_version"":""3.11.8"",""is_kaggle_kernel"":false}}","false","[5,5,5,5,5]","64","20","","true","0","220","1","0.6","2","[6,6,6,6,6]","pixelshuffledirect","LayerNorm","true","1","8","0","0.00015","false","0","0.1","false","HSFB","2","20","","1213.286346912384","0","1736414505.3595388","1212","0","0.002791054081171751","0.050383560359478","0.06482934951782227","0.06807383894920349","0.0007171123288571835","0.007406989578157663","0.001643433002755046","0.002979351207613945","0.01498427428305149","0.049919191747903824","0.045208241790533066","0.010299645364284515","0.033218905329704285","0.0501137338578701","0.049564771354198456","0.0103796673938632","0.03743115812540054","0.06330882012844086","0.00284154387190938","0.0010830871760845184","0.0006817413377575576","0.0018800187390297651","66.59693908691406","23.36334800720215","23.03471946716309","57.75167465209961","51.10100555419922","59.53870391845703","55.68849563598633","32.8283805847168","30.380863189697266","30.75868034362793","35.391292572021484","31.553302764892575","30.466449737548828","30.373563766479492","34.74980545043945","31.29665756225586","39.15319061279297","70.93588256835938","61.5981330871582","52.38192367553711","0.02191784046590328","1492.6571044921875","37.46872329711914","37.46872329711914","0"
